날짜,Tech_Score,Market_Score,Risk_Score,종가,거래량,주가변동
2025-10-28,0.2205882352941176,0.1617647058823529,0.0,99018.65625,20002282,
2025-10-29,0.2352941176470588,0.1470588235294117,0.0588235294117647,100013.8203125,20899788,0.010050268304867993
2025-10-30,0.3777173913043478,0.2717391304347826,-0.0108695652173913,103596.40625,34570017,0.03582090881346156
2025-10-31,0.4805555555555555,0.4638888888888889,-0.0055555555555555,106979.953125,54824564,0.03266085183336176
2025-11-03,0.25,0.5,0.0,110562.5390625,30110066,0.03348838574750501
2025-11-04,0.3815789473684211,0.2894736842105263,-0.0263157894736842,104392.53125,30450281,-0.0558055907979117
2025-11-05,0.1428571428571428,-0.0357142857142857,0.0,100113.3359375,44843020,-0.04099139336177371
2025-11-06,0.2894736842105263,0.2894736842105263,0.0,98720.109375,28655689,-0.013916493236922789
2025-11-07,0.2391304347826087,0.0652173913043478,-0.0217391304347826,97426.3984375,22908083,-0.013104836954603516
2025-11-10,0.0833333333333333,0.0555555555555555,-0.1111111111111111,100113.3359375,23842327,0.02757915249965537
2025-11-11,0.16,0.31,0.0,102999.3046875,27742542,0.028827016131014682
2025-11-12,0.119047619047619,0.1666666666666666,0.0,102601.2421875,19413497,-0.0038647105551607996
2025-11-13,0.3666666666666666,0.2333333333333333,0.0,102302.6953125,20838741,-0.002909778367540805
2025-11-14,0.2647058823529412,0.0098039215686274,0.0,96729.78125,21806342,-0.05447475304024629
2025-11-17,0.1388888888888889,0.2361111111111111,0.0,100113.3359375,17192584,0.034979451455132926
2025-11-18,0.2058823529411764,0.1176470588235294,0.0441176470588235,97326.8828125,18684068,-0.027832986473845578
2025-11-19,0.3695652173913043,0.2608695652173913,0.0,96033.171875,18993346,-0.013292431650074876
2025-11-20,0.475,0.45,-0.025,100113.3359375,25360435,0.0424870280012295
2025-11-21,0.0161290322580645,0.0,-0.0806451612903225,94341.390625,23103574,-0.0576541102985858
2025-11-24,0.1875,0.15,-0.025,96232.203125,29831172,0.02004223689595408
2025-11-25,0.3878205128205128,0.0641025641025641,0.0512820512820512,98819.625,16110054,0.026887276722108222
2025-11-26,0.6153846153846154,0.3461538461538461,0.0,102302.6953125,21314975,0.03524674691388485
2025-11-27,0.5069444444444444,0.2083333333333333,0.0,102999.3046875,16453004,0.006809296400960951
2025-11-28,0.2894736842105263,0.1052631578947368,0.0526315789473684,100013.8203125,15292277,-0.02898548086375885
2025-12-01,0.35,0.34,0.0,100312.3671875,10905526,0.0029850562059039465
2025-12-02,0.4545454545454545,0.0681818181818181,0.0,102899.7890625,13649487,0.025793647857633495
2025-12-03,0.3790322580645161,0.2338709677419354,-0.1290322580645161,103994.46875,14697927,0.010638308372382665
2025-12-04,0.1911764705882352,0.1176470588235294,0.0,104591.5625,11931145,0.005741591424784254
2025-12-05,0.2083333333333333,0.1666666666666666,0.0,107875.6015625,19755571,0.03139869970390774
2025-12-08,0.3068181818181818,0.2272727272727272,0.0,108970.28125,15527762,0.010147611430614045
2025-12-09,0.3636363636363636,0.4545454545454545,0.1363636363636363,107875.6015625,13671800,-0.010045671856059424
2025-12-10,0.28125,0.1875,0.0,107477.5390625,12365092,-0.003690014185175783
2025-12-11,0.25,0.25,0.0,106780.921875,22994507,-0.006481514124499155
2025-12-12,0.15,0.15,0.0,108373.1796875,14210314,0.014911444708858523
2025-12-15,-0.0333333333333333,0.15,-0.05,104293.015625,20594654,-0.03764920503638791
2025-12-16,0.5,0.1153846153846153,0.1538461538461538,102302.6953125,18852079,-0.01908392715056273
2025-12-17,0.1176470588235294,0.2647058823529412,-0.1617647058823529,107378.015625,22297611,0.0496108171636791
2025-12-18,0.2352941176470588,0.1176470588235294,-0.0294117647058823,107079.46875,20445631,-0.002780335185580518
2025-12-19,0.3863636363636363,0.1363636363636363,-0.0227272727272727,105785.7578125,25917098,-0.012081783301712501
2025-12-22,0.1193181818181818,0.1022727272727272,0.0,109965.4453125,24859171,0.03951087165635547
2025-12-23,0.1226415094339622,0.1226415094339622,-0.1509433962264151,110960.6015625,20419187,0.009049717819738401
