날짜,Tech_Score,Market_Score,Risk_Score,종가,거래량,주가변동
2025-10-29,0.3333333333333333,0.0833333333333333,-0.0833333333333333,100013.8203125,20899788,
2025-10-30,0.3111702127659574,0.2712765957446808,-0.0106382978723404,103596.40625,34570017,0.03582090881346156
2025-10-31,0.4701086956521739,0.4592391304347826,-0.0054347826086956,106979.953125,54824564,0.03266085183336176
2025-11-03,0.2432432432432432,0.4864864864864865,0.0,110562.5390625,30110066,0.03348838574750501
2025-11-04,0.3928571428571428,0.3571428571428571,-0.0238095238095238,104392.53125,30450281,-0.0558055907979117
2025-11-05,0.1785714285714285,0.0714285714285714,0.0,100113.3359375,44843020,-0.04099139336177371
2025-11-06,0.2777777777777778,0.25,0.0,98720.109375,28655689,-0.013916493236922789
2025-11-07,0.2272727272727272,0.0909090909090909,-0.0227272727272727,97426.3984375,22908083,-0.013104836954603516
2025-11-10,0.0789473684210526,0.0789473684210526,-0.1052631578947368,100113.3359375,23842327,0.02757915249965537
2025-11-11,0.173076923076923,0.2980769230769231,-0.0192307692307692,102999.3046875,27742542,0.028827016131014682
2025-11-12,0.1071428571428571,0.1904761904761904,0.0,102601.2421875,19413497,-0.0038647105551607996
2025-11-13,0.3,0.15,0.0,102302.6953125,20838741,-0.002909778367540805
2025-11-14,0.3,0.0,0.0,96729.78125,21806342,-0.05447475304024629
2025-11-17,0.175,0.325,0.0,100113.3359375,17192584,0.034979451455132926
2025-11-18,0.2361111111111111,0.125,0.0416666666666666,97326.8828125,18684068,-0.027832986473845578
2025-11-19,0.391304347826087,0.2608695652173913,0.0,96033.171875,18993346,-0.013292431650074876
2025-11-20,0.5,0.4736842105263157,-0.0789473684210526,100113.3359375,25360435,0.0424870280012295
2025-11-21,0.0714285714285714,0.0285714285714285,-0.0714285714285714,94341.390625,23103574,-0.0576541102985858
2025-11-24,0.1447368421052631,0.1842105263157894,0.0526315789473684,96232.203125,29831172,0.02004223689595408
2025-11-25,0.3801369863013699,0.0616438356164383,0.0547945205479452,98819.625,16110054,0.026887276722108222
2025-11-26,0.5,0.25,0.0,102302.6953125,21314975,0.03524674691388485
2025-11-27,0.4318181818181818,0.1666666666666666,0.0,102999.3046875,16453004,0.006809296400960951
2025-11-28,0.2307692307692307,0.0769230769230769,0.1153846153846153,100013.8203125,15292277,-0.02898548086375885
2025-12-01,0.3173076923076923,0.3269230769230769,-0.0384615384615384,100312.3671875,10905526,0.0029850562059039465
2025-12-02,0.3958333333333333,0.1458333333333333,0.0,102899.7890625,13649487,0.025793647857633495
2025-12-03,0.3181818181818182,0.2045454545454545,-0.1212121212121212,103994.46875,14697927,0.010638308372382665
2025-12-04,0.1805555555555555,0.1666666666666666,0.0,104591.5625,11931145,0.005741591424784254
2025-12-05,0.2272727272727272,0.1818181818181818,0.0,107875.6015625,19755571,0.03139869970390774
2025-12-08,0.2282608695652173,0.217391304347826,0.0,108970.28125,15527762,0.010147611430614045
2025-12-09,0.3260869565217391,0.4130434782608695,0.1304347826086956,107875.6015625,13671800,-0.010045671856059424
2025-12-10,0.3392857142857143,0.1785714285714285,0.0357142857142857,107477.5390625,12365092,-0.003690014185175783
2025-12-11,0.225,0.175,0.0,106780.921875,22994507,-0.006481514124499155
2025-12-12,0.1666666666666666,0.1666666666666666,0.0,108373.1796875,14210314,0.014911444708858523
2025-12-15,0.0390625,0.1640625,-0.046875,104293.015625,20594654,-0.03764920503638791
2025-12-16,0.5625,0.1666666666666666,0.1875,102302.6953125,18852079,-0.01908392715056273
2025-12-17,0.1710526315789473,0.3026315789473684,-0.0394736842105263,107378.015625,22297611,0.0496108171636791
2025-12-18,0.1944444444444444,0.1111111111111111,-0.0277777777777777,107079.46875,20445631,-0.002780335185580518
2025-12-19,0.375,0.15,-0.025,105785.7578125,25917098,-0.012081783301712501
2025-12-22,0.125,0.1071428571428571,0.0,109965.4453125,24859171,0.03951087165635547
2025-12-23,0.1101694915254237,0.1101694915254237,-0.1610169491525423,110960.6015625,20419187,0.009049717819738401
2025-12-24,0.140625,0.109375,-0.125,110562.5390625,12492939,-0.00358742197135431
2025-12-26,0.2635135135135135,0.7972972972972973,0.0,116434.0,34018174,0.05310533737092382
2025-12-29,0.0746753246753246,0.2597402597402597,-0.0129870129870129,119500.0,19676004,0.026332514557603437
2025-12-30,0.0584415584415584,0.1883116883116883,-0.0064935064935064,119900.0,19746349,0.0033472803347280866
2026-01-02,0.4777777777777778,0.2444444444444444,0.0444444444444444,128500.0,30463279,0.07172643869891582
2026-01-05,0.1027397260273972,0.3219178082191781,0.0205479452054794,138100.0,42863376,0.07470817120622564
2026-01-06,0.0957446808510638,0.3829787234042553,-0.0212765957446808,138900.0,45321341,0.005792903692976026
2026-01-07,0.135,0.4,-0.045,141000.0,46317413,0.015118790496760237
2026-01-08,0.1802325581395348,0.3488372093023256,-0.0261627906976744,138800.0,41449329,-0.015602836879432647
