날짜,Tech_Score,Market_Score,Risk_Score
2024.08.02,0.17857142857142858,0.07142857142857142,-0.14285714285714285
2024.08.03,0.0,0.0,0.0
2024.08.04,0.2857142857142857,0.0,0.0
2024.08.05,0.2777777777777778,0.1111111111111111,-0.08333333333333333
2024.08.06,0.32142857142857145,0.0,-0.07142857142857142
2024.08.07,0.23333333333333334,0.06666666666666667,0.0
2024.08.08,0.045454545454545456,0.0,-0.09090909090909091
2024.08.09,0.0,0.0,0.0
2024.08.10,0.25,0.0,0.0
2024.08.11,0.3333333333333333,0.0,0.0
2024.08.12,0.17307692307692307,0.0,0.0
2024.08.13,0.15,0.05,0.05
2024.08.14,0.07142857142857142,0.0,0.0
2024.08.15,0.125,0.125,0.0
2024.08.16,0.3,0.0,0.0
2024.08.17,0.08333333333333333,0.0,0.0
2024.08.18,0.375,0.0,-0.125
2024.08.19,0.2777777777777778,0.0,0.0
2024.08.20,0.5,0.5,0.0
2024.08.21,0.6875,0.0,0.0
2024.08.22,0.275,0.05,0.0
2024.08.23,0.25,0.0,0.0
2024.08.24,0.0,0.16666666666666666,0.0
2024.08.25,0.07142857142857142,0.14285714285714285,0.0
2024.08.26,0.0,0.16666666666666666,-0.3333333333333333
2024.08.27,0.2916666666666667,0.16666666666666666,-0.041666666666666664
2024.08.28,0.125,0.0,-0.25
2024.08.29,0.25,0.25,-0.1875
2024.08.30,0.25,0.125,0.0
2024.08.31,0.0,0.125,-0.125
2024.09.01,0.25,0.16666666666666666,-0.16666666666666666
