날짜,Tech_Score,Market_Score,Risk_Score
2026.01.26,0.0,0.027777777777777776,-0.027777777777777776
2026.01.27,0.0,0.25,0.0
2026.01.28,0.03508771929824561,0.17543859649122806,-0.017543859649122806
2026.01.29,0.04819277108433735,0.1144578313253012,0.0
2026.01.30,0.02564102564102564,0.10256410256410256,0.0
2026.01.31,0.5,0.0,0.0
2026.02.01,0.0,0.13636363636363635,0.0
2026.02.02,0.058823529411764705,0.0,-0.058823529411764705
2026.02.03,0.0,0.17391304347826086,0.0
2026.02.04,0.0,0.1935483870967742,0.0
2026.02.05,0.02702702702702703,0.0,-0.02702702702702703
2026.02.06,0.02564102564102564,-0.07692307692307693,0.0
2026.02.07,0.09090909090909091,0.09090909090909091,0.0
2026.02.08,0.05128205128205128,0.07692307692307693,0.0
2026.02.09,0.15,0.45,0.0
2026.02.10,0.05714285714285714,0.2857142857142857,0.0
2026.02.11,0.10810810810810811,0.02702702702702703,0.0
2026.02.12,0.13636363636363635,0.4696969696969697,-0.015151515151515152
2026.02.13,0.036585365853658534,0.10975609756097561,-0.024390243902439025
2026.02.14,0.047619047619047616,0.09523809523809523,0.0
2026.02.15,0.06451612903225806,0.0967741935483871,0.0
2026.02.16,0.08888888888888889,0.1111111111111111,0.022222222222222223
2026.02.17,-0.06666666666666667,0.0,-0.06666666666666667
2026.02.18,0.04878048780487805,0.0975609756097561,0.0
2026.02.19,0.046875,0.5859375,-0.03125
2026.02.20,0.0,0.09803921568627451,0.0
2026.02.21,0.2,0.0,-0.06666666666666667
2026.02.22,0.4,0.42,-0.18
2026.02.23,0.078125,0.234375,-0.15625
2026.02.24,0.03389830508474576,0.5,-0.01694915254237288
2026.02.25,0.0,0.15,-0.1
