날짜,Tech_Score,Market_Score,Risk_Score,종가,거래량,주가변동
2026-01-26,0.0,0.0277777777777777,-0.0277777777777777,152100.0,20561689,
2026-01-27,0.0,0.25,0.0,159500.0,29423670,0.048652202498356445
2026-01-28,0.0350877192982456,0.175438596491228,-0.0175438596491228,162400.0,29456431,0.018181818181818077
2026-01-29,0.0481927710843373,0.1144578313253012,0.0,160700.0,36087223,-0.010467980295566504
2026-01-30,0.0256410256410256,0.1025641025641025,0.0,160500.0,40557267,-0.001244555071561959
2026-02-02,0.0588235294117647,0.0,-0.0588235294117647,150400.0,39748369,-0.06292834890965737
2026-02-03,0.0,0.1739130434782608,0.0,167500.0,36529813,0.11369680851063824
2026-02-04,0.0,0.1935483870967742,0.0,169100.0,29943042,0.009552238805970115
2026-02-05,0.027027027027027,0.0,-0.027027027027027,159300.0,38435228,-0.05795387344766412
2026-02-06,0.0256410256410256,-0.0769230769230769,0.0,158600.0,36358081,-0.00439422473320783
2026-02-09,0.15,0.45,0.0,166400.0,25098971,0.049180327868852514
2026-02-10,0.0571428571428571,0.2857142857142857,0.0,165800.0,19369566,-0.0036057692307692735
2026-02-11,0.1081081081081081,0.027027027027027,0.0,167800.0,22760242,0.012062726176115701
2026-02-12,0.1363636363636363,0.4696969696969697,-0.0151515151515151,178600.0,41296011,0.06436233611442188
2026-02-13,0.0365853658536585,0.1097560975609756,-0.024390243902439,181200.0,34454192,0.014557670772676445
2026-02-19,0.046875,0.5859375,-0.03125,190000.0,27049388,0.04856512141280356
2026-02-20,0.0,0.0980392156862745,0.0,190100.0,24213880,0.000526315789473708
2026-02-23,0.078125,0.234375,-0.15625,193000.0,26364684,0.015255128879537061
2026-02-24,0.0338983050847457,0.5,-0.0169491525423728,200000.0,28060617,0.03626943005181338
2026-02-25,0.0,0.15,-0.1,203500.0,27730565,0.01750000000000007
